,index,종류별,상황별,재료별,방법별,제목,url,조회수,셰프,인분,조리시간,난이도,재료,인트로,조리순서,해시태그
0,1,밑반찬,일상,소고기,볶음,소고기두부볶음 - 아이들 반찬/이유식 반찬으로도 최고죠~옛생각이 절로...,https://www.10000recipe.com/recipe/6854979,"173,846",봉자바리                                ,3,30분 이내,초급,"['두부', '다진소고기', '다진소고기', '맛술', '간장', '설탕', '참기름', '다진마늘', '다진파', '후추', '들기름', '올리브유']","이제 슬슬 기온이 떨어지려나봐요.
아직 한낮에는 덥지만...아침저녁이라도 선선하게~~

슬슬 반찬도 부지런히 해먹어야겠죠??ㅎㅎㅎㅎㅎㅎ
연휴의 끝과 함께 냉장고 반찬도 끝이 났어요.

일단....장보기는 싫고~~냉파냉파~~
두부와 소고기가 있으니...소고기두부볶음을 했죠~
아이들도 잘먹는 훌륭한 반찬!!!","['다진소고기는 140그람이 있어서 준비.\n뭐~~더 많이 넣으셔도 됩니다.', '소고기는 밑간해주세요.\n다진소고기140그람, 맛술1/2큰술, 간장1큰술, 설탕1/3큰술,참기름1큰술,\n다진마늘1/2큰술, 다진파1큰술, 후추톡톡톡\n간장과 설탕의 양은 조절하세요.\n간장에따라..설탕에따라 짠맛단맛이 천차만별...\n^^', '두부는 깍뚝깍뚝 썰어서 키친타올에서 물기좀 제거해주세요.\n그래야 더 단단하게 부쳐집니다.', '물기 제거한 두부는 들기름반...올리브유 반...\n두르고\n노릇노릇 부쳐주세요.', '노릇노릇 부친 두부는 한켠으로 밀어내고.', '밑간해둔 다진소고기를 볶아 줍니다.\n번거로움을 줄이기위함.\n잔머리 딩굴딩굴~~', '고기가 다 볶아지면...\n고루 섞어내주면 되지요~~\n두부랑 섞어요~~\n섞어서 휙~볶아주고 끝!!\n쉽죠~\n맛있죠~']","['밑반찬', '아이반찬', '이유식반찬', '두부요리', '두부소고기볶음']"
1,2,밑반찬,일상,소고기,볶음,"볶음밥, 주먹밥 어디든 잘 어울리는 '만능 소고기볶음'",https://www.10000recipe.com/recipe/6947579,"44,586",또롱이네요리                                ,2,20분 이내,아무나,"['소고기', '다진마늘', '진간장', '맛술', '설탕', '후추', '참기름', '통깨']","볶음밥에 넣어도 맛있고 김밥, 주먹밥에 넣으면 더 맛있는~
만능 소고기볶음이랍니다^~^
반찬을 만들때 넣어도 맛있더라구요! 정말 만능이에요~!!!","['식용유를 두르고 소고기, 다진마늘을 넣어 볶아줍니다.중불타지 않도록 잘 볶아 주세요.', '소고기가 익으면 양념 재료들을 넣고 볶아줍니다.중강불양념이 다 쫄을 때 까지 볶아주세요~', '수분이 사라지면 통깨를 넣고 한 번 더 볶아줍니다.', '완성~!!ㅎㅎ 정말 간단하죠?\n그대로 반찬으로 먹어도 좋고 주먹밥, 김밥에 넣어 먹으면 더 좋은~ 만능 소고기 볶음 완성이랍니다.']","['소고기', '만능소고기볶음']"
2,3,밑반찬,일상,소고기,볶음,소고기 무나물 만드는법- 딸에게# ,https://www.10000recipe.com/recipe/6992660,116,노란장미                                ,,,,"['소고기불고기', '무', '청고추', '홍고추', '다진마늘', '소금', '참기름']",,[],"['무나물', '소고기무나물', '무우나물']"
3,4,밑반찬,일상,소고기,볶음,진정한 밥도둑 소고기 볶음 고추장,https://www.10000recipe.com/recipe/6838094,"200,270",프랑스아줌마                                ,6,15분 이내,초급,"['갈은 소고기', '양파', '고추장', '다진 마늘', '후추', '간장', '설탕', '참기름', '물엿(생략가능)']","매콤달콤한 밥도둑 !! 
맛잇는 소고기 볶음 고추장이예요. ^_^","['넉넉한 크기의 그릇에 갈은 소고기와 다진마늘, 간장, 설탕, 후추를 넣고 잘 섞어주세요.\n그리고 고기를 양념에 재운다 생각하시고 잠시 옆에 놔두고 STEP2로 넘어갑니다.', '양파는 잘게 썰어주신후에 후라이팬에 참기름을 붓고 양파가 완전히 익을때까지 잘 볶아주세요.', '양파가 다 익으면 소스에 재워놨던 고기를 후라이팬에 넣고 고기가 다 익을때까지 볶아줍니다.\n고기가 다 익으면 불을 약불로 낮춰주신후에 고추장을 넣고 잘 섞어주시면서 고추장이 고기에 잘 스며들게 볶아주세요.', '마지막으로 물엿을 넣고 20~30초 정도만 더 볶아주세요. \n물엿이 없으면 설탕을 넣으셔도 되고,\n맛 보시고 더 달지 않아도 되겠다 싶으면 넣지 않으셔도 됩니다.']","['밥도둑', '소고기볶음', '볶음고추장', '간단한', '밑반찬']"
4,5,밑반찬,일상,소고기,볶음,밥에 넣고 비벼먹어도 맛있는 소고기오이볶음,https://www.10000recipe.com/recipe/6833523,"31,792",가시장미                                ,3,60분 이내,아무나,"['오이', '소고기(갈은것)', '간장', '통깨', '소금', '오일', '굵은소금', '소금', '간장', '설탕', '청주', '다진마늘', '참기름', '후춧가루']","갓 지은 따스한 밥 위에 올려 쓱쓱 비벼먹어도 맛있는 소고기오이볶음이에요.
저희집에서는 밥 도둑으로 불린답니다.","['오이는 굵은 소금을 이용해 겉을 비벼가며 씻어 물기를 제거한뒤, 동글동글 썰어 소금1/2작은술을 넣고 절여주세요. (10분)\n절여진 오이는 가볍게 짜주세요.', '소고기에는 분량의 재료대로 양념들을 넣고 밑간해주세요.', '달구어진 팬에 오일을 두르고, 오이를 넣고 볶아주세요.', '밑간해둔 소고기를 넣고 볶아주세요.', '간장과 소금으로 간을 해준뒤 통깨를 넣고 센불에서 휘리릭 볶아주세요.', '요거요거 은근 밥도둑이에요.\n저희집은 요렇게 만들어 식탁위에 올리면 바로바로 없어진다지요.']","['밥반찬', '소고기오이볶음', '밑반찬', '소고기볶음', '오이볶음', '오늘의요리', '밥상요리', '가시장미요리레시피']"
5,6,밑반찬,일상,소고기,볶음,가지약고추장:소고기 넣은 것 보다 더 인기있었던 채식밑반찬,https://www.10000recipe.com/recipe/6992639,46,재미마미                                ,4,60분 이내,초급,"['고추장', '꿀', '가지', '양파', '다진마늘', '식용유', '양조간장', '소금', '후추', '매실액 또는 양파효소', '검은깨', '통깨', '잣']",소고기 대신 가지를 넣고 꿀을 넣어 조린 채식약고추장,"['가지는 잘게 깍둑썰기하고 양파는 다진다.', '식용유 약간만 두르고 가지와 양파,다진마늘,소금,후추를 넣어 볶는다', '가지와 양파에 양조간장과 매실액(양파효소)를 넣고 충분히 볶는다', '고추장을 넣어 볶는다', '약불을 낮추고 꿀을 넣고 바글바글 조리듯 끓인다.', '통깨와 흑임자를 넣고 마무리한다.']","['가지약고추장', '채식약고추장', '가지요리', '고추장요리', '밑반찬', '채식']"
6,7,밑반찬,일상,소고기,볶음,편스토랑 박수홍 묵은지양념장 묵은지된장바지락 묵은지고추장소고기,https://www.10000recipe.com/recipe/6992360,198,윤채맘                                ,3,20분 이내,아무나,"['소고기 다짐육', '묵은지', '대파 흰부분', '다진 마늘', '고추씨기름 또는 고추기름', '진간장', '설탕', '고추장', '고춧가루', '바지락살', '묵은지', '대파 흰부분', '다진 마늘', '고추씨기름 또는 고추기름', '맛술', '설탕', '된장', '청양고추', '물', '후추']","묵은지와 된장, 고추장을 기본으로 만든 묵은지양념장!!
라면에 올려 먹어도 맛있지만 밥 위에 올려 먹어도 맛있는 묵은지 양념장 만들어 보세요!!","['묵은지는 국물을 쭉 짜서 아주 잘게 다진다.', '대파 흰 대를 얇게 송송 잘게 썬다.', '양념장 재료 진간장 1T, 설탕 1.5T, 고추장 2T, 고춧가루 1T를 넣고 섞어 준비한다.', '팬에 고추씨 기름 2T를 넣고 다진 파, 다진 마늘을 볶는다.', '어느 정도 볶아지면 다진 쇠고기를 넣고 볶다가 핏기가 사라지면 묵은지를 넣고 노릇해지도록 볶는다.', '고기와 묵은지가 익으면 을 양념장을 넣고 뭉쳐지도록 볶아주면 완성된다.', '바지락 사골에서 우려낸 바지락 껍데기에서 살만 골라낸다.', '묵은지는 국물을 짜서 아주 잘게 다진다.', '대파 흰 대는 얇게 송송 썬다.', '청양고추는 씨를 빼고 잘게 다진다.', '양념장 재료 맛술 1T, 설탕 1T, 된장 1T, 물 50ml를 섞어 준비한다.', '팬에 고추씨 기름 3T를 넣고 다진 파, 다진 마늘 0.5T를 넣고 볶는다.', '어느 정도 볶아지면 바지락살 반 줌과 썬 묵은지를 넣고 볶는다.', '묵은지가 노릇해지면 다진 청양고추 1개를 넣는다.', '준비해 둔 된장양념물을 넣고 뭉쳐지도록 볶는다.', '15에 마무리로 후추 1~2꼬집을 뿌려 섞으면 완성된다.']","['묵은지양념장', '바지락살', '소고기다짐육', '묵은지', '밑반찬']"
7,8,밑반찬,일상,소고기,볶음,소고기가지볶음 레시피 집밥반찬 ,https://www.10000recipe.com/recipe/6984699,761,라피네                                ,4,15분 이내,초급,"['소고기', '가지', '굴소스', '진간장', '맛술', '참기름', '통깨', '식용유', '다진파']","짜투리 소고기와 제철가지를 볶은 반찬이에요.
간단하게 만들지만 맛이 참 좋습니다.","['가지 1개는 반으로 잘라 1cm 두께로 어슷썰기해주세요.', '소고기는 키친타올로 핏물을 제거해주고 길쭉하게 썰거나 한입크기로 잘라주세요.', '팬에 기름을 두르고 다진파 한줌을 넣고 중불에서 파기름을 먼저 만들어줍니다.', '파가 노릇하게 익으면 소고기를 넣고 볶아주세요.', '소고기의겉면이 핏기가 사라지면 가지도 넣고 달달 볶아주세요.', '고기가 익고 뻣뻣했던 가지가 말랑해지면 팬 한쪽으로 고기와 가지를 밀어두고 팬의 빈 칸에 진간장을 1T부어 살짝 끓여 눌려주신 후 섞어주세요.', '그리고 맛술 1T 넣어주고~~', '굴소스도 1T 넣어줍니다.', '참기름도 1T정도 넣고 잘 버무리듯 섞어서 볶아주세요.', '마무리로 통깨 톡톡 뿌리면 맛있는 반찬 소고기가지볶음이 완성됩니다.\n아주 간단하죠???맛있게 드세요.']","['가지요리', '가지반찬', '소고기볶음', '가지볶음', '소고기가지볶음', '집밥', '집반찬', '밑반찬', '여름반찬', '소고기가지볶음만드는법']"
8,9,밑반찬,일상,소고기,볶음,"아기 반찬, 소고기배추볶음 레시피",https://www.10000recipe.com/recipe/6992319,153,평범한흔남                                ,3,20분 이내,아무나,"['소고기다짐육', '알배추', '아기 간장', '올리고당', '물', '식용유', '대파']","아기 반찬, 소고기배추볶음 레시피 입니다.","['-위 재료 확인하고 준비해주세요.\n-소고기 다짐육은 물에 담가 핏물을 제거해주세요.', '알배기는 먹기 좋은 크기로 썰고, 대파는 쫑쫑 썰어주세요.', '달군 프라이팬에 식용유 0.5T 가량 둘러주세요.', '대파를 넣고, 먼저 볶다가 파향이 올라오면 소고기 다짐육 넣어주세요.', '소고기 겉면이 살짝 익으면 물 10ml 정도만 부어주세요.', '알배추도 같이 넣어줍니다.', '아기간장 1T 가량 넣어주세요.', '올리고당은 0.5T 들어간답니다.', '알배추가 숨이 죽고, 물기가 거의 졸아들면 완성!']","['아기반찬', '아기반찬레시피', '소고기배추볶음', '소고기배추볶음레시피', '소고기배추볶음만들기']"
9,10,밑반찬,일상,소고기,볶음,그냥 슉슉 만들어도 맛있는 '소고기 배추볶음',https://www.10000recipe.com/recipe/6951917,"3,634",또롱이네요리                                ,2,20분 이내,아무나,"['소고기(불고기/샤브샤브용)', '배추', '대파', '홍고추', '청양고추', '간장', '맛술(소주)', '다진마늘', '다진생강', '참기름', '후추']","마라샹궈를 만들어 먹고 남은 소고기와 배추로 맛있는 반찬을 만들어 보았습니다!
그냥 반찬으로 먹어도 맛있고 밥에 쓱쓱 비벼 먹어도 맛있는 소고기 배추볶음이랍니다~","['소고기를 찬물에 담가 핏물을 빼주세요.', '물기를 꽉 짜준 뒤 양념을 버무려 주세요!', '대파와 홍고추, 청양고추를 어슷썰기해주세요', '기름을 살짝 두른 뒤 소고기를 먼저 볶아 주세요.중약불', '배추를 먹기 좋은 크기로 잘라 준 뒤손가락 두개 정도의 두깨가 좋은 것 같아요.', '소고기의 겉 면이 익으면 배추를 넣어 잘 섞어주세요.', '배추가 숨이 죽으면 야채들을 다 넣어 볶아 주세요.', '잘 섞이도록 볶아준 뒤~깨를 넣어 한 번 볶아주어도 맛있답니다!', '그릇에 담아 맛있게 먹어주어요.']","['소고기', '배추', '소고기배추볶음']"
