,index,종류별,상황별,재료별,방법별,제목,url,조회수,셰프,인분,조리시간,난이도,재료,인트로,조리순서,해시태그
0,5801,밑반찬,일상,달걀/유제품,볶음,백종원의 부추 달걀 볶음,https://www.10000recipe.com/recipe/6891606,"226,580",lee쉐프                                ,2,15분 이내,아무나,"['부추', '달걀', '식용유', '밥', '굴소스', '참기름']","반찬 없을때 간단하게 해 먹을수 있는 부추 달걀 볶음입니다.
따로 반찬으로도 좋지만 밥위에 올려 덮밥을 만들어 봤습니다","['부추는 적당한 크기로 썰고 달걀은 여러번 저어서 곱게 풀어 놓습니다', '팬에 식용유를 두르고 뜨거워지면 달걀을 붓고 젓가락으로 저으면서 익혀주세요', '부추와 굴소스를 넣고 볶아주세요', '달걀과 섞은후 불을 끄고 참기름을 넣고 저어준후', '그릇에 밥 한공기를 담고 그위에 부추 달걀 볶음을 담아주세요.']",
1,5802,밑반찬,일상,달걀/유제품,볶음,달걀(계란) 숙주볶음 : 초간단 반찬 겸 술안주,https://www.10000recipe.com/recipe/6881913,"94,216",몽베이향                                ,2,10분 이내,아무나,"['달걀', '숙주', '후추', '굴소스', '식용유', '참기름', '다진 쪽파']",재료도! 만드는 방법도! 누구나 쉽게 따라 할 수 있는 요리~ 그럼 만들어 볼까요~?,"['숙주는 깨끗하게 씻어서 채반에 올려서 물을 빼주세요.', '쪽파는 아주 작게 송송 썰어주세요.(생략 가능)', '달걀에 후추를 톡톡 넣고, 잘 풀어주세요.', '식용유를 넣고 달군 팬에 달걀을 넣고 센불에서 빠르게 튀기듯 볶아주세요. 저는 식용유가 살짝 부족해서ㅜ 스크램블이 됐네요;;', '물기를 뺀 숙주와 굴소스를 넣고 빠르게 볶아주세요*저는 굴소스눈 2T 넣었어요. 간 조절 해주세요!', '살짝 숨이 죽어갈때 불을 끄고 참기름을 1t정도 넣고 섞어주세요원하는 숙주의 식감을 맞춰주세요~', '접시에 옮긴 뒤 쪽파를 뿌려주세요. 완성♡']","['달걀숙주볶음', '계란숙주볶음', '숙주볶음', '숙주요리', '계란요리', '달걀요리', '초간단요리', '밥반찬', '술안주', '쉬운요리']"
2,5803,밑반찬,일상,달걀/유제품,볶음,"아기 반찬, 크래미양파계란볶음 레시피",https://www.10000recipe.com/recipe/6990835,249,평범한흔남                                ,3,20분 이내,아무나,"['양파', '물', '크래미', '계란', '소금']","아기 반찬, 크래미양파계란볶음 레시피 입니다.","['-위 재료 확인하고 준비해주세요.\n-양파와 크래미는 아이가 먹을 수 있도록 잘게 잘라주세요.', '계란은 풀어서 준비해주세요.', '프라이팬에 물 100ml 부어주세요.', '양파를 넣어 푹 익혀주세요.', '소금 0.1T로 간 살짝 해주시구요.', '양파가 익으면 물이 살짝 있는 상태에서 계란물을 한바퀴 둘러 주세요.', '크래미도 바로 넣고 나서 물기가 없을 때까지 볶아 주시면 완성!']","['아기반찬', '25개월반찬', '크래미양파계란볶음', '크래미양파계란볶음레시피', '크래미양파계란볶음만들기']"
3,5804,밑반찬,일상,달걀/유제품,볶음,자취생 간단요리<메추리알볶음>,https://www.10000recipe.com/recipe/6895112,"98,155",초코콩                                ,3,30분 이내,초급,"['메추리알', '비엔나소세지', '청양고추', '고추장', '케첩', '진간장', '설탕', '물']",오늘은 메추리알을 장조림이 아닌 다르게 먹어보고 싶어서~한번 볶아본 자취생 간단요리<메추리알볶음>입니다!,"['양념들은 한군데 모두 \n넣고 잘 섞어주세요여기서 간보시고 고추장이 많으면\n케첩을 좀 더 넣어주세요!', '비엔나는 칼집을 내어줍니다', '식용유를 약간 두른 팬에\n비엔나를 넣고 구워주세요', '비엔나가 거의 다 익을때쯤\n메추리알과 청양고추를 넣고\n같이 볶아줍니다', '비엔나가 완전히 익으면\n소스를 넣고 볶아주세요', '접시에 담아서 완성~!']","['초간단', '밑반찬', '자취', '메추리알', '자취요리']"
4,5805,밑반찬,일상,달걀/유제품,볶음,부추달걀볶음 간단한데 맛있지 ,https://www.10000recipe.com/recipe/6982353,831,좋아좋아3                                ,2,5분 이내,아무나,"['달걀', '부추', '들기름', '소금', '물', '들기름']","완전식품 달걀

매일먹어도 좋다 하겠는데요

​

간단한데 맛있는반찬 부추달걀볶음 

동물복지유정란으로 만들었어요

​","['재료는 완전 간단~\n달걀과 부추만 있으면 됩니다', '부추는 1cm 길이로 썰어두어요', '동물복지 유정란은 3개 깨트려주고\n물, 소금넣고 잘 섞어 줍니다', '팬에 들기름 둘러주고\n달걀부터 쉐킷쉐킷~~', '몽글몽글~\n익는 것 느껴지면 부추넣고\n쉐킷쉐킷~~', '부추 숨 죽으면\n들기름 넣고 마무리해요', '초간단반찬\n부추달걀볶음 완성 입니다']","['달걀', '계란', '부추', '부추계란볶음', '달걀부추볶음', '초간단반찬']"
5,5806,밑반찬,일상,달걀/유제품,볶음,[식약처] 토마토소스 달걀볶음,https://www.10000recipe.com/recipe/6990295,261,식품의약품안전처                                ,1,60분 이내,중급,"['달걀', '파', '토마토소스', '설탕', '소금', '식용유', '참기름']",나트륨 · 당류를 줄인 조리법을 소개합니다.,"['볼에 달걀을 푼다.', '달군 팬에 1을 볶아 스크램블을 만든다.', '파를 송송 썬다.', '기름을 두른 팬에 3을 먼저 볶아 향을 낸 뒤 토마토소스를 넣고 볶는다.', '4에 설탕, 소금, 2를 넣고 섞는다.', '참기름을 뿌려 마무리한다.']","['식품의약품안전처', '마이나슈', '식품안전나라레시피']"
6,5807,밑반찬,일상,달걀/유제품,볶음,따총쵸지단..(파향을 낸 게맛살 달걀볶음) 중국가정식 2편,https://www.10000recipe.com/recipe/6890759,"12,293",elliws재원맘                                ,,,,"['통통한 게맛살', '대파', '통마늘', '올리브유', '굴소스', '후추', '참기름', '통깨', '돼지고기다짐육', '달걀', '우유 한컵', '볶은 천일염', '참기름', '양파 고추 장아찌물']",,[],"['게살볶음밥', '볶음밥', '게맛살볶음밥', '달걀볶음밥', '중국가정식', '달걀', '게맛살', '대파', '따총쵸지단', '생활의달인']"
7,5808,밑반찬,일상,달걀/유제품,볶음,[식약처] 배추 달걀볶음,https://www.10000recipe.com/recipe/6990190,85,식품의약품안전처                                ,1,60분 이내,중급,"['배추', '달걀', '돼지고기', '파', '다진 생강', '간장', '목이버섯', '닭육수', '물전분', '식용유', '소금']",나트륨 · 당류를 줄인 조리법을 소개합니다.,"['배추는 잎을 떼서 크게 썬 다음 3cm 길이로 결대로 찢는다.', '기름을 넣어 가열 된 팬에 배추를 넣고 살짝 볶아 낸 후 수분을 제거한다.', '달걀을 풀어 팬에 익힌다.', '채 썬 돼지고기를 팬에 볶고 파, 다진 생강, 간장을 넣고 다시 볶는다.', '4에 목이버섯, 배추, 달걀을 넣고 잘 섞는다.', '5에 육수, 소금, 물전분을 넣는다.']","['식품의약품안전처', '마이나슈', '식품안전나라레시피']"
8,5809,밑반찬,일상,달걀/유제품,볶음,달걀찜 맛 나는 달걀 볶음# 계란 볶음,https://www.10000recipe.com/recipe/6989768,255,요리조이                                ,1,10분 이내,초급,"['달걀', '대파', '새우젓', '통깨']",고소하고 짭짤한 달걀 볶음 입니다,"['대파를 작게 썰어 주세요', '식용유를 넉넉히 두르고 대파를 볶아주세요', '달걀을 넣고 20~30초 후에 휘저어 주세요', '몽글몽글 스크램블에그를 만들어 주세요', '새우젓을 넣고 골고루 섞으면서 볶아주세요 새우젓을 다져서 넣으면 간이 골고루 베어요', '통깨를 뿌리고 접시에 담아 맛있게 먹어요']","['달걀', '볶음', '스크램블에그', '밥반찬', '밑반찬']"
9,5810,밑반찬,일상,달걀/유제품,볶음,"[1인 가구 요리] 저칼로리 음식, 토마토부추계란볶음 만들기",https://www.10000recipe.com/recipe/6980200,517,검멍이                                ,1,30분 이내,아무나,"['계란', '소금', '부추', '토마토', '참기름']","혼자살고 있는 빵순이입니다.
1인 가구가 먹기에 적당한 양과 만들기 간편한 방법을 소개합니다.
영양가 있으면서 칼로리 적은 부추계란볶음 만드는 법을 소개합니다.","['우선 계란 2개를 터뜨리고, 소금을 넣어서 휙휙 저어줍니다.', '그 뒤에, 오일로 달군 후라이팬에 계란을 넣고, 익을 쯤 젓가락으로 저어주면서 스크램블을 만듭니다.', '계란을 익혀줄 사이, 토마토와 부추를 먹기 좋은 크기로 잘라줍니다.', '자른 토마토와 부추를 계란이 담겨있는 후라이팬에 넣고 참기름 2스푼을 넣고 잘 볶아줍니다.', '참기름 향이 솔솔 올라오면서 적당히 익으면 그릇에 담아 맛있게 드시면 됩니다.']","['부추요리', '다이어트', '저칼로리', '계란요리', '토마토요리', '자취생', '초간단', '1인가구']"
