,index,닉네임,작성날짜,작성시간,별점,내용
0,2,신희정,2022-05-19,23:59:23,5,"고기 아무거나(삼겹살, 우삼곂, 다진고기, 목살) 해도 맛있습니다.^^ 보통 2배 분량으로 해서 다같이먹구요. 고기는 조금 더 많이 넣는편이고
오늘은 두부 420g 짜리 넣었어요.
두부에 고기양념이 베어서 맛있어요.
6살 아들과 고기러버 남편한테 두부도 잘 먹게하는 레시피라서 자주하게 되네요."
1,2,BBang❤️,2019-04-21,13:26:35,5,삼삼하니 맛있네요 ㅎㅎ 저흰 굴소스 조금 넣어서 먹었는데 맛있었어요 ㅎㅎ 좋은 레시피 감사합니다 :)
2,2,이지행,2019-11-28,21:04:59,5,"우와
애기가 밥 잘 안먹으려고 하는데
한그를반이나 먹었네요
짱입니다 감사합니다"
3,2,Jongim Yun-Marquez,2020-08-10,23:44:11,5,밑간 하니까 고기냄새도 안나고 넘 맛나요! 큰애반찬으론 괜찮은데 17갤 아이에겐 마늘냄새가 좀 센거같아요~
4,2,선냥이,2020-09-09,10:05:58,5,불고기 있는거에 두부구워서 했는데 맛있었어요! 두부를 작게 썰어야지 양념이 벨꺼같아요. 작게 썬다고 썰었는데 간이 잘 안베어서 고기는 좀 짜고 두부는 좀 싱거웠어요ㅋㅋㅋ
5,2,이쁜me,2019-06-03,06:11:51,5,맛있어요ㅎ애기가 두부도 엄청잘먹고 진짜손으로집어서라도 먹었어요ㅎㅎ
6,2,뚜잉맘,2019-11-11,21:36:43,5,"와 ~~
딸랭이가 밥을 하도 잘안먹을라해서
하루하루 딸랭 밥반찬 고민하는데 
유일하게 두부를 좋아해서 괜찮겠다 싶어서 해줬는데..첨엔 잘안먹을라 하더니 나중엔 다 먹었네요 휴 ㅠㅠ
저는 너무 맛있더라구요
댓글보고 굴고스 추가하니 더 맛있네요 진짜 강추 레시핍니더"
7,2,sisioo,2020-06-22,18:36:23,5,"전 간장2스푼에 매실액기스1스푼 넣었는데 너무맛있네요ㅎㅎ
제입맛엔 맛있는데 저희애긴 아직 너무어려서그런가 생두부를 더잘먹네요ㅋㅋ
근데 보관을 소분해서 냉장보관하면되는걸까요?"
8,2,수수아♡,2022-09-09,16:21:01,5,"비쥬얼이 쪼끔 그런데...ㅋㅋ맛있어용!!!
근데 밑에분 말씀처럼 두부를 좀 작게해야 간이 베요
제 입맛엔 많이 싱거워서 양념은 세배를 했네욯ㅎ"
9,2,하얀곰돌a,2020-04-23,19:26:37,5,지난번엔 소고기로 하고 이번엔 돼지고기로 해봤는데 돼지고기도 맛나네요~ 소고기가 더 맛있긴하지만^^
10,2,lysuk****,2020-08-10,11:41:31,5,"참 맛있어서 애들 뿐 아니라 어른 반찬으로도
좋네요. 전 크게 썰어 팬에 바싹 부쳐 썰어서 했어요^^"
11,2,내운명,2019-06-13,22:45:51,5,맛있어요~ 댓글보고 굴소스 추가해서 감칠맛나게 해먹었어요~ 감사합니다^^
12,2,핑크기린,2020-01-02,22:48:13,5,쉽고 빠르게 할 수 있어서 좋았습니다!! 게다가 맛도 좋네용!! 오늘 저녁 아이와 한끼 건강하게 먹을 수 있게 해주셔서 감사해용!
13,2,로봄,2020-03-26,20:40:34,5,아기 소고기 어떻게 먹일까 고민했는데 이 레시피 진짜 최고에요. 밥을 엄청 잘먹네요~~ 소고기랑 두부랑 엄청 잘 먹었어요. 감사해요^^
14,2,루미어무니,2020-10-14,19:16:58,5,장조림보다 훨씬 맛있고 간단해요^^ 남편이 앞으로 계속 해달라할정도에요 진짜 감사합니다
15,2,eunmegu,2019-03-16,17:26:59,5,고기 한팩300그램에 두부 한모 잘게 깍뚝썰어서 어른도 비벼먹고 15갤 애기도 비벼주고 완전 좋네요 :) 어른아이 모두다 맛나게 먹을 수 있는 간단하면서 영양가 있는 반찬 아주 굿입니다!!
16,2,파클,2020-09-03,00:03:51,5,반근을 했더니 양념이 배 이상 들어가야 약간 짭짤하고 좋네요. 아이들이 좋아합니다! 아빠가 하기에 쉬운 요리로 추천해요~
17,2,ahnmi79,2020-05-10,18:34:33,5,"5시에 레시피보고 두부사와서 6시에 완성요
아이가 아주 잘먹네요~~감사합니다"
18,2,정애천사,2019-08-28,22:19:10,5,14개월아기가 넘 잘먹어요♡ 소고기는 밥에 비벼서 주먹밥처럼 줬더니 흡입하네요 고맙습니다
19,2,Susan Lea Han,2020-07-11,03:31:16,5,아주 따라하기 쉬운 레시피 감사합니다. 원팬이 좋네요! ^^ 전 간장이랑 올리고당 좀 더 넣었어요. 아이들이 좀 커서 ㅋㅋ 간을 한거 좋하해서 ^^
20,2,통실이,2019-01-31,14:57:45,5,고기가 50그램밖에 없어서 적혀있는거에 대충대충 넣어서 만들었는데 감칠맛이 나네요 맛있어요!
21,2,창문을탕탕,2019-01-08,08:08:49,5,"아침에 휘리릭 손쉽게 만들어서 애들 먹였어요~
간단하고 맛있네요~감사합니다♡
저도 양파 추가로 넣었어요~"
22,2,만들기,2019-08-30,03:40:15,5,"레시피 감사합니다
저두 굴소스 첨가해서 만들었습니다
맛있네여~ 영양가만점! 
주먹밥으로 만들으면 아기들이 더 먹기편할것같아요~ ^^"
23,2,기욘짱,2020-09-11,11:48:11,5,뭔가 불고기 같기도 하고 여튼 엄청 맛나네요~~ 다진소고기가 없어서 와규 대충 잘라 넣었는데 넘 맛있어요. 26개월 아기도 잘 먹네요^^ 감사합니다
24,2,봄이 짱,2017-01-05,20:57:11,5,아이가 잘 먹네요. 제가 먹어봐도 너무 맛있어요. 덕분에 반찬해결했어요~
25,2,가야고,2017-09-08,21:11:36,5,정말 맛있게 먹었습니다. 두부와 들기름 올리브유의 조합은 최고였어요
26,2,요리잘하고싶은일인,2020-01-17,21:18:34,5,제입맛에도 맛있어요 아직 아이가 먹어보진 않았는데 잘먹을듯해요~!^^
27,2,우진맘이예요~^^♡,2019-04-25,14:40:51,5,맛있어요~^^ 불고기맛이예요~~28갤아들이 잘먹네요 레시피 감사합니다~
28,2,그린장미,2019-10-08,07:43:41,5,"굴소스 첨가해서 볶아주니 더 맛이 나네요~~
종종 해먹을 것 같아요^^"
29,2,bruja♥,2019-01-13,12:26:26,5,"아기빈찬 항상 고민이였는데 너무좋아요~^^
좋은레시피 감사합니다!"
30,2,리한❤리우,2019-10-07,14:02:50,5,네살 두살 아이들 반찬거리 고민했었는데 너무 맛있게 잘먹네요~^^
31,2,랑이맘,2017-01-13,10:02:52,5,저는부추랑양배추랑양파두좀다져넣어서해줬더니너무잘먹어요~^^
32,2,이은하님,2022-01-27,22:19:35,5,"고기밑간 불고기 맛이나서 애기가 엄청 잘먹었어요.
감사해요 ^^"
33,2,"Lee, JiSun",2020-02-23,13:04:44,5,만들기도 넘 쉽고 무엇보다 아기가 너무 잘먹네요 감사합니다^^
34,2,수료중,2018-07-03,10:52:43,5,아들이 안먹는스타일인데 6숟가락이나먹었네요 잘먹였습니다
35,2,요리하고싶은이여사,2019-06-15,02:12:27,5,"맛있어요~ 아이들이 아주 잘 먹었어요
쉽고 맛있는 요리!!"
36,2,김빵땡,2020-02-18,16:55:38,5,이제 막 18개월된 아이가 정말맛있게 잘먹네용!!!^^ㅎㅎㅎ
37,2,스토리헤어,2019-09-22,21:57:49,5,"함께 모여 만들어서 더더욱 좋았어요. 
잘 먹겠습니다!"
38,2,정지연,2021-09-24,22:23:08,5,정말간단한레시피지만알차고맛있게잘먹었습니다~^^♡
39,2,호준영,2019-09-27,17:09:44,5,맛간장 한숟갈 넣으니 더 감칠맛납니다~^^ 맛있어요
40,2,금이언니♡,2018-11-09,08:26:40,5,간단하면서도 맛있어요~온 가족이 다 잘먹었어요~
41,2,우현 ♡ 서현,2017-06-02,23:52:41,5,가족모두가잘먹을수있는쉬우면서도맛있는반찬^^
42,2,하얀눈송이,2021-05-31,23:27:56,5,애기가 좋아해요^^ 좋은 반찬 레시피 득템입니당
43,2,토리모,2022-01-11,18:52:38,5,"애기가 잘먹어요 어른도 맛있어요
감사합니다^^"
44,2,홍 ♡,2018-07-10,20:09:43,5,쉽고간편해요. 아이들이 맛있어해요~~~~굿굿
45,2,takeaki,2017-02-08,07:13:33,5,떡국고명으로 왕창 올려먹으니 최고입니당
46,2,준형이엄마,2018-07-09,17:39:06,5,맛있어염ㅎㅎ 딸이 두부도 잘먹네요ㅋㅋ
47,2,-운이운이,2020-03-26,18:13:12,5,맛있어요^^ 레시피 잘 배웠습니다~~
48,2,홀리꽁,2017-03-07,22:36:28,5,쉽고 맛나고 뽀대나고 좋았어용~~^^
49,2,얌얌양이밥,2017-06-28,16:36:53,5,맛나게 잘 먹었어요 요리팁 감사요
50,2,베이징맘,2019-11-04,06:54:17,5,"맛있네요.
좋은 정보 감사합니다."
51,2,하윤서아브지,2020-01-08,20:02:52,5,^^어른들도 맛있게 먹었어요ㅋ
52,2,EM하늘,2020-12-08,18:03:27,5,간단하구 아이가 넘 좋아해용
53,2,미미하이,2019-03-15,18:27:50,5,초간단 맛있는 반찬이에요 ^^
54,2,풍풍이의날개,2022-08-13,20:23:31,5,맛나게 잘 묵어씁니당ㅎㅎㅎ
55,2,냠냠곰돌,2020-10-06,00:06:58,5,아이 반찬으로 넘 좋아요
56,2,양초딩,2021-01-15,18:30:32,5,이쁘고 간편하고 좋아요^^
57,2,달지여,2021-04-21,21:59:51,5,아기가 잘먹어요 ㅎㅎ
58,2,조현정1,2020-03-20,18:39:52,5,맛있게 잘 먹었어요~!
59,2,미국초보맘,2018-03-13,03:40:27,5,아이가 잘먹어요 ㅎ
60,2,허동희,2018-06-27,23:38:46,5,잘 만들었습니다
61,2,서예맘10,2019-03-18,22:16:16,5,너무맛있어요^^
62,2,소녀그림그리는,2020-02-19,21:21:26,5,완전최고!!!
63,2,경미♥,2019-10-12,20:46:45,5,맛있어요♡
64,2,오기♥️,2020-11-09,19:19:17,5,맛있어요.
65,2,yoonaim1029,2019-09-18,21:17:35,5,최고!
66,2,노란마음황구v,2019-11-03,10:38:11,4,"맛있었어요^^ 간도 삼삼하니 좋았구요
두부 밑간을 살짝 했더니 아주 맛있었습니다. 
고기 볶기 전에 양파를 넣어서 볶았어요. 그랬더니 아삭한 식감도 있는게 좋았습니다."
67,2,Jjeon,2017-08-08,08:13:59,4,"같은 양의 재료와 양념일텐데 손맛은 어쩔 수 없나봅니다^^ 그래도 15갤 아이가 잘 먹어요ㅎ
감사합니다~"
68,2,르미네,2020-04-28,12:03:36,4,"후다닥 애들 점심 준비하기 좋았어요
애들 다행히 먹네요
식으면 기름 볶은 밥이라서 조금 비리지만
따뜻할때 먹음 단백질풍부밥 인듯요~^^"
69,2,낭만을 꿈꾸다^^❤️❤️❤️,2019-01-05,11:43:44,4,아이반찬땜에 만들었는데 조금 먹었지만 제가 먹어도 맛이 괜찮아요 저는 아기간장사용해서 만들었거든요 단맛이 좀 적었나봐요ㅠㅠ 그래도 만들어주고 그럴께요 감사합니다
70,2,,2021-04-03,18:13:03,4,반찬으론 안먹어서 이거넣고 덮밥으로 비벼서 줬더니 잘먹었어요
71,2,다온이♥️,2019-07-05,19:21:53,4,"아이가 잘먹어요
두부덮밥 처럼 해주니 한그릇 뚝딱 이네요"
72,2,오잉,2022-03-04,18:49:21,4,애들먹일꺼라 심심하게해도 맛있네요~^^ 자주할것같아요^^
73,2,아영,2017-04-11,21:20:50,4,요리초보인데도 아이들이 너무 맛있게 먹었어요~^^
74,2,junepass,2019-01-05,17:55:12,4,맛있게 잘 먹었어요^^
75,3,방연희,2021-10-17,12:10:19,5,요리똥손이 만들어도 엄청 맛나여~ 다 만들어놓고 소분해서 냉동해두니 더 편하네여♡♡
76,3,민브로마미,2021-10-31,17:11:34,5,대박 맛있어요. 고기잘안먹는 애들이라 고기먹이려고 노력중인데.. 진짜 이반찬을 이제알앗다니..... 감사합니다
77,3,ggghhh,2022-02-26,19:57:25,5,"자취생인데 반은 월남쌈에 넣어 먹고
반은 다음날 주먹밥 해먹었어요! 최고"
78,3,찌니찌니97,2021-06-15,17:31:19,5,"만들어 놓으니까 유부초밥, 주먹밥 등등 활용하기 너무 좋네요~좋은 레시피 감사합니다."
79,3,맛나맛나,2022-01-17,20:48:51,5,짭짤하니 맛있어요 유부 초밥에 넣어 먹었는데 김밥 해먹어도 최고일 거 같네요!
80,3,뾰로롱지니,2022-03-27,21:09:43,5,"너무 맛있어요
김밥, 주먹밥, 유부초밥 만들때 넣어도 맛있고 그냥 김가루에 고기볶음 넣고 슥슥 비벼먹어도 맛있네요
레시피 감사해요^^"
81,3,Twins,2020-12-06,09:04:07,5,"처음엔 주먹밥으로 나머지는 볶음밥 재료로 썼습니다.
맛있게 잘 먹었어요"
82,3,승현승빈맘,2022-04-21,12:15:49,5,몇번째 요 레시피로 만들고 있어요.주먹밥.떡국 등 활용도가 높네요~~
83,3,hae0802,2021-02-12,09:27:20,5,떡국 꾸미용으로 만들었는데 넘 맛있네요 남은건 주먹밥해야겠어요
84,3,choooeh,2020-12-17,00:08:00,5,"넘맛있어요 아이들 주먹밥 해줬어요
레시피 감사해요~^^"
85,3,또리,2022-10-15,22:59:22,5,여기저기 다양한 요리에 많이 활용해봤어요 고마워요
